"ID"	"sex"	"age"	"stage"	"WH"	"captive"	"growth_rate"	"d.dev"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"80"	"81"	"82"	"83"	"84"	"85"	"86"	"87"	"88"	"89"	"90"	"91"	"92"	"93"	"94"	"95"	"96"	"97"	"98"	"99"	"100"	"101"	"102"	"103"	"104"	"105"	"106"	"107"	"108"	"109"	"110"	"111"	"112"	"113"	"114"	"115"	"116"	"117"	"118"	"119"	"120"	"121"	"122"	"123"	"124"	"125"	"126"	"127"	"128"	"129"	"130"	"131"	"132"	"133"	"134"	"135"	"136"	"137"	"138"	"139"	"140"	"141"	"142"	"143"	"144"	"145"	"146"	"147"	"148"	"149"	"150"	"151"	"152"	"153"	"154"	"155"	"156"	"157"	"158"	"159"	"160"	"161"	"162"	"163"	"164"	"165"	"166"	"167"	"168"	"169"	"170"	"171"	"172"	"173"	"174"	"175"	"176"	"177"	"178"	"179"	"180"	"181"	"182"	"183"	"184"	"185"	"186"	"187"	"188"	"189"	"190"	"191"	"192"	"193"	"194"	"195"	"196"	"197"	"198"	"199"	"200"
"key3.129"	"200_9_7_w"	2	0	1	1	"197_10_17_w/197_4_63_w"	0	0	0.05	0.05	0	0	-0.05	0.05	0	0.05	0.05	-0.05	-0.05	0	0.05	0.05	-0.05	0.05	0	0	-0.05	0.05	2	2	1	1	2	2	1	1	2	2	1	1	2	1	1	1	2	2	1	1	2	2	2	2	1	2	1	1	1	1	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	1	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	2	1	1	1	2	2	2	2	2	2	1	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	2	1
"key5.1251"	"200_6_49_w"	2	0	1	1	"197_2_27_w/197_6_20_w"	0	0	0.05	0.05	0.05	0	-0.05	0.05	-0.05	0.05	0.05	-0.05	-0.05	-0.05	0.05	0.05	-0.05	0.05	0.05	-0.05	-0.05	0.05	2	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	2	2	1	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	2	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	2	1	1	2	2	1	1	1	2	1	1	2	2	1	1	2	2	2	1
"key5.73"	"200_4_40_w"	2	0	1	1	"197_4_8_w/197_6_62_w"	0	0	0.05	0.05	0	0	-0.05	0.05	0	0.05	0.05	-0.05	-0.05	0	0	0	-0.05	-0.05	0	-0.05	-0.05	0.05	2	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	2	2	1	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1	2	2	2	2	1	2	1	1	1	1	2	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	1	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	1	2	1	1	1	2	1	2	2	2	2	2	2	1	1	2	2	1	2	1	1	2	2	2	2	1	1	1	2	2	2	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	1	1	2	2	1	1	2	2	1	1
"key4.1711"	"200_1_95_w"	1	0	1	1	"197_3_43_w/197_10_66_w"	0	0	0	0.05	0.05	0	-0.05	0.05	0	0.05	0.05	-0.05	-0.05	-0.05	-0.05	0.05	-0.05	0.05	0.05	-0.05	-0.05	0.05	1	2	1	1	2	2	1	1	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	2	1	1	1	1	2	2	1	1	2	2	2	2	2	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2	2	1	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	2	2	1	1	2	1	2	2	1	1	2	2	1	2	2	2	1	1	2	2	1	1	2	2	1	2
"key4.219"	"200_9_98_w"	2	0	1	1	"197_10_17_w/197_4_63_w"	0	0	0.05	0.05	0.05	0	-0.05	0.05	0	0.05	0.05	-0.05	-0.05	-0.05	0	0.05	-0.05	0	0.05	0	-0.05	0.05	2	2	1	1	2	2	1	1	2	2	1	1	2	1	2	2	2	2	1	2	2	2	2	2	1	2	1	1	1	1	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	1	1	2	2	1	1	2	2	2	2	1	2	1	1	1	1	2	2	2	2	1	1	1	2	1	2	2	2	2	1	2	1	2	1	2	2	2	2	1	2	1	2	2	2	1	1	1	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	1	2	2	2	2	2	2	1	1	1	2	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	2
"key3.1451"	"200_6_56_w"	1	0	1	1	"197_2_27_w/197_6_20_w"	0	0	0.05	0.05	0.05	-0.05	-0.05	0.05	-0.05	0.05	0.05	-0.05	-0.05	0	0.05	0.05	-0.05	0.05	0.05	-0.05	-0.05	0.05	2	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	1	2	2	2	2	1	1	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	1	2	1	2	2	2	2	2	1	2	2	2	2	1	1	1	2	1	1	2	1	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	1	1	2	2	2	1	2	2	1	1	2	2	1	1	2	2	2	1
"key5.215"	"200_4_105_w"	2	0	1	1	"197_4_8_w/197_6_62_w"	0	0	0.05	0.05	0	0	-0.05	0.05	-0.05	0.05	0.05	-0.05	-0.05	0.05	0	0	-0.05	0.05	0.05	0	-0.05	0.05	2	2	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	1	1	1	1	2	2	1	1	1	1	2	2	2	2	1	2	1	1	1	1	2	1	2	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	1	2	1	1	1	2	1	2	2	2	2	2	2	1	1	2	2	1	2	2	1	2	2	2	2	1	1	1	2	2	2	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	2	1
"key5.146"	"200_7_89_w"	1	0	1	1	"197_5_39_w/197_3_87_w"	0	0	0.05	0.05	0.05	0	-0.05	0.05	0	0.05	0.05	-0.05	-0.05	0.05	0	0.05	-0.05	0.05	-0.05	-0.05	-0.05	0.05	2	2	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	1	2	2	2	2	1	1	2	1	2	2	2	1	1	2	1	1	2	2	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1
"key5.341"	"200_4_17_w"	1	0	1	1	"197_4_8_w/197_6_62_w"	0	0	0.05	0.05	0.05	0	-0.05	0.05	0	0.05	0.05	-0.05	-0.05	0.05	0	0	-0.05	-0.05	0.05	0	-0.05	0.05	2	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	2	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	1	1	2	1	2	2	2	2	1	2	1	1	2	2	1	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	2	1
"key6.1741"	"200_5_81_w"	1	0	1	1	"197_5_93_w/197_2_82_w"	0	0	0.05	0.05	0.05	0.05	-0.05	0.05	0	0.05	0.05	-0.05	-0.05	-0.05	0	0	-0.05	0	0	-0.05	-0.05	0.05	1	2	1	1	2	2	1	1	2	2	1	1	2	1	1	1	2	2	1	2	2	2	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	1	2	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	2	2	1	2	2	2	1	1	2	2	1	1	2	2	1	1
"key6.2211"	"197_10_88_w"	2	3	2	1	"194_6_21_w/194_1_131_w"	0	0	0.05	0.05	0	0	-0.05	0.05	0.05	0.05	0.05	-0.05	-0.05	-0.05	0.05	0.05	-0.05	0.05	0	-0.05	0	0.05	2	1	1	1	2	2	1	1	2	2	1	1	2	1	1	2	2	2	1	1	2	2	2	1	2	2	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	2	1	1	2	1	1	1	1	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	1	2	2	2	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	1	2	2	1	1	2	2	1	2	2	2	1	1	2	2	1	1	2	2	1	2
"key47"	"199_8_3_w"	2	1	1	1	"196_7_1_w/196_7_51_w"	0	0	0	0.05	0.05	0.05	-0.05	0.05	0.05	0	-0.05	-0.05	-0.05	0	0.05	0.05	-0.05	0.05	0	0	-0.05	0.05	2	2	1	1	2	2	1	1	2	2	2	2	1	1	1	1	2	2	2	1	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	2	2	2	1	1	2	2	2	2	1	1	1	1	1	1	2	2	2	2	1	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	2	1	1	1	1	2	2	2	2	1	1	2	2	2	2	2	1	1	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1
"key5.103"	"200_4_54_w"	1	0	1	1	"197_4_8_w/197_6_62_w"	0	0	0.05	0.05	0.05	0	-0.05	0.05	0.05	0.05	0.05	-0.05	-0.05	0	0.05	0	-0.05	0.05	0.05	-0.05	-0.05	0.05	2	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	2	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	1	1	2	2	1	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	1	1	2	2	1	1	2	2	1	1
